task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,127,128,105,94,93.21,37.2
P2,962.02,203.26,128,200,73,66,55,43.4,21.17
P3,1597.98,203.26,201,322,122,121,118,109.65,44.83
P4,2241.12,203.26,323,432,110,88,86,127.06,45.0
P5,319.78,598.09,433,539,107,89,89,165.75,61.31
P6,962.02,598.09,540,606,67,62,56,92.91,35.75
P7,1597.98,598.09,607,684,78,78,71,121.96,35.69
P8,2241.12,598.09,685,805,121,91,87,106.0,57.36
P9,319.78,1008.21,806,896,91,85,83,106.97,41.39
P10,962.02,1008.21,897,1008,112,77,76,136.42,65.58
P11,1597.98,1008.21,1009,1118,110,105,104,98.41,43.45
P12,2241.12,1008.21,1119,1219,101,85,79,70.32,51.32
P13,319.78,1398.54,1220,1331,112,110,110,182.7,115.42
P14,962.02,1398.54,1332,1409,78,78,78,177.82,93.54
P15,1597.98,1398.54,1410,1482,73,73,61,70.96,39.0
P16,2241.12,1398.54,1483,1586,104,100,94,137.26,89.71
