task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,93,94,63,63,111.71,85.24
P2,962.02,203.26,94,152,59,59,51,61.82,27.98
P3,1597.98,203.26,153,227,75,75,72,79.97,60.56
P4,2241.12,203.26,228,321,94,81,78,135.31,55.58
P5,319.78,598.09,322,400,79,77,75,135.5,67.34
P6,962.02,598.09,401,481,81,66,65,129.23,65.11
P7,1597.98,598.09,482,551,70,70,65,76.38,38.04
P8,2241.12,598.09,552,633,82,71,69,103.23,52.99
P9,319.78,1008.21,634,688,55,55,49,49.98,43.21
P10,962.02,1008.21,689,756,68,68,57,67.57,26.87
P11,1597.98,1008.21,757,956,200,171,166,136.39,49.14
P12,2241.12,1008.21,957,1039,83,75,73,111.94,49.24
P14,962.02,1398.54,1040,1218,179,87,87,115.33,88.9
P15,1597.98,1398.54,1219,1291,73,73,66,84.48,33.3
P16,2241.12,1398.54,1292,1420,129,129,123,99.84,40.06
