task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,-1,0,0,0,,
P12,2241.12,1008.21,0,994,995,92,90,105.76,70.73
P13,319.78,1398.54,995,1121,127,119,119,173.14,93.11
P14,962.02,1398.54,1122,1191,70,70,70,150.94,102.24
P15,1597.98,1398.54,1192,1286,95,95,88,95.17,31.15
P16,2241.12,1398.54,1287,1338,52,52,47,80.73,48.03
