task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,66,67,45,44,185.08,54.87
P2,962.02,203.26,67,129,63,62,60,110.67,53.02
P3,1597.98,203.26,130,182,53,45,45,125.07,81.07
P4,2241.12,203.26,183,240,58,45,45,165.19,50.29
P5,319.78,598.09,241,276,36,36,36,110.16,94.86
P6,962.02,598.09,277,316,40,37,37,162.77,80.34
P7,1597.98,598.09,317,397,81,66,66,199.19,70.71
P8,2241.12,598.09,398,523,126,43,42,89.81,56.14
P10,962.02,1008.21,524,574,51,44,44,154.73,78.49
P11,1597.98,1008.21,575,626,52,50,46,130.34,48.42
P12,2241.12,1008.21,627,688,62,53,52,112.21,46.21
P13,319.78,1398.54,689,736,48,45,45,168.7,64.89
P14,962.02,1398.54,737,794,58,58,58,127.46,97.62
P15,1597.98,1398.54,795,865,71,67,60,148.76,47.44
P16,2241.12,1398.54,866,906,41,34,33,130.28,81.81
