task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,20,21,0,0,,
P2,962.02,203.26,21,178,158,80,78,118.27,61.92
P3,1597.98,203.26,179,264,86,85,84,137.42,52.41
P4,2241.12,203.26,265,348,84,78,71,77.35,34.16
P6,962.02,598.09,349,553,205,90,88,114.64,84.39
P11,1597.98,1008.21,554,986,433,85,77,113.76,32.09
P12,2241.12,1008.21,987,1079,93,80,79,108.96,50.65
P13,319.78,1398.54,1080,1168,89,89,89,132.5,84.12
P14,962.02,1398.54,1169,1250,82,71,67,198.15,48.0
P15,1597.98,1398.54,1251,1322,72,72,72,123.88,94.31
P16,2241.12,1398.54,1323,1398,76,70,70,159.95,116.64
