task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,90,91,63,52,98.05,20.45
P2,962.02,203.26,91,150,60,47,42,96.2,39.0
P3,1597.98,203.26,151,201,51,51,44,62.84,22.77
P4,2241.12,203.26,202,274,73,61,55,71.3,42.97
P5,319.78,598.09,275,372,98,75,68,112.85,30.88
P6,962.02,598.09,373,487,115,104,103,127.72,38.06
P7,1597.98,598.09,488,573,86,76,75,88.66,48.25
P8,2241.12,598.09,574,645,72,47,46,64.14,36.67
P9,319.78,1008.21,646,725,80,80,80,135.52,57.56
P10,962.02,1008.21,726,852,127,99,99,154.09,84.61
P16,2241.12,1398.54,853,1426,574,105,100,116.12,76.73
