task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,81,82,65,65,109.5,78.92
P2,962.02,203.26,82,159,78,78,69,89.77,31.33
P3,1597.98,203.26,160,219,60,60,54,69.6,52.7
P4,2241.12,203.26,220,307,88,75,72,94.9,46.02
P5,319.78,598.09,308,429,122,113,109,134.04,46.32
P6,962.02,598.09,430,512,83,83,82,115.89,62.82
P7,1597.98,598.09,513,581,69,69,61,58.84,28.75
P8,2241.12,598.09,582,682,101,88,82,95.78,40.3
P9,319.78,1008.21,683,765,83,83,82,138.8,61.38
P10,962.02,1008.21,766,869,104,95,95,152.45,82.52
P11,1597.98,1008.21,870,942,73,68,65,81.83,44.36
P12,2241.12,1008.21,943,1027,85,74,70,106.49,35.64
P13,319.78,1398.54,1028,1123,96,87,85,145.91,66.35
P14,962.02,1398.54,1124,1244,121,120,114,117.14,50.32
P15,1597.98,1398.54,1245,1314,70,70,68,83.37,60.53
P16,2241.12,1398.54,1315,1393,79,76,73,89.49,54.8
