task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,63,64,45,44,158.93,39.24
P2,962.02,203.26,64,117,54,54,52,92.87,36.44
P3,1597.98,203.26,118,188,71,64,64,146.25,76.73
P4,2241.12,203.26,189,272,84,65,59,101.45,47.17
P5,319.78,598.09,273,334,62,29,29,140.97,76.29
P6,962.02,598.09,335,408,74,74,71,90.47,61.89
P7,1597.98,598.09,409,488,80,74,68,78.88,39.44
P8,2241.12,598.09,489,573,85,64,56,71.18,23.5
P9,319.78,1008.21,574,641,68,65,61,79.95,30.8
P10,962.02,1008.21,642,707,66,66,58,69.79,42.87
P11,1597.98,1008.21,708,774,67,67,67,102.18,82.0
P12,2241.12,1008.21,775,844,70,58,58,157.23,76.03
P13,319.78,1398.54,845,901,57,57,52,132.24,50.98
P14,962.02,1398.54,902,989,88,78,76,110.96,62.37
P15,1597.98,1398.54,990,1053,64,64,58,130.39,54.98
P16,2241.12,1398.54,1054,1113,60,60,52,96.41,40.68
