task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,99,100,81,78,103.13,62.9
P2,962.02,203.26,100,166,67,67,63,75.84,45.5
P3,1597.98,203.26,167,229,63,63,53,68.03,15.49
P4,2241.12,203.26,230,287,58,54,54,116.1,70.93
P6,962.02,598.09,288,448,161,99,96,112.62,61.26
P7,1597.98,598.09,449,536,88,88,79,60.43,32.76
P8,2241.12,598.09,537,628,92,55,55,123.57,58.56
P9,319.78,1008.21,629,740,112,97,96,97.9,55.5
P10,962.02,1008.21,741,821,81,72,63,77.77,25.58
P11,1597.98,1008.21,822,876,55,55,48,56.89,14.44
P12,2241.12,1008.21,877,988,112,82,82,140.42,60.07
P13,319.78,1398.54,989,1053,65,65,61,72.42,34.1
P14,962.02,1398.54,1054,1132,79,79,72,85.04,41.88
P15,1597.98,1398.54,1133,1218,86,86,75,87.07,45.45
P16,2241.12,1398.54,1219,1287,69,67,62,85.97,32.96
