task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,4,5,0,0,,
P7,1597.98,598.09,5,513,509,78,75,109.49,70.41
P8,2241.12,598.09,514,607,94,81,78,120.94,42.77
P9,319.78,1008.21,608,670,63,63,59,90.38,51.84
P10,962.02,1008.21,671,752,82,82,82,125.44,61.8
P11,1597.98,1008.21,753,829,77,77,69,70.82,48.18
P12,2241.12,1008.21,830,922,93,82,74,134.76,27.61
P13,319.78,1398.54,923,987,65,65,65,177.68,89.37
P14,962.02,1398.54,988,1068,81,81,81,165.16,78.07
P15,1597.98,1398.54,1069,1149,81,81,77,87.71,47.78
P16,2241.12,1398.54,1150,1223,74,74,74,122.58,72.81
