task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,15,16,0,0,,
P2,962.02,203.26,16,202,187,92,92,116.44,75.33
P3,1597.98,203.26,203,300,98,98,96,115.41,40.59
P4,2241.12,203.26,301,391,91,79,76,86.09,51.01
P5,319.78,598.09,392,500,109,92,90,122.81,54.19
P6,962.02,598.09,501,588,88,80,80,166.93,58.86
P7,1597.98,598.09,589,670,82,82,79,93.02,55.7
P8,2241.12,598.09,671,772,102,92,89,71.74,33.89
P9,319.78,1008.21,773,908,136,114,114,184.7,80.5
P10,962.02,1008.21,909,992,84,82,82,156.31,83.38
P11,1597.98,1008.21,993,1096,104,104,104,114.44,76.57
P12,2241.12,1008.21,1097,1200,104,96,93,67.69,44.5
P13,319.78,1398.54,1201,1318,118,105,105,156.45,90.07
P14,962.02,1398.54,1319,1439,121,96,94,196.25,100.32
P15,1597.98,1398.54,1440,1535,96,96,92,81.25,45.65
P16,2241.12,1398.54,1536,1628,93,84,83,103.27,60.08
