task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,140,141,118,118,138.7,89.73
P2,962.02,203.26,141,213,73,65,60,144.05,44.66
P3,1597.98,203.26,214,311,98,98,96,103.35,51.2
P4,2241.12,203.26,312,399,88,72,70,123.75,52.08
P5,319.78,598.09,400,464,65,65,58,106.74,39.17
P6,962.02,598.09,465,564,100,89,84,125.11,54.91
P7,1597.98,598.09,565,649,85,79,71,118.31,41.36
P8,2241.12,598.09,650,757,108,97,93,104.02,48.77
P9,319.78,1008.21,758,824,67,67,67,119.58,79.31
P10,962.02,1008.21,825,930,106,87,86,122.44,68.08
P11,1597.98,1008.21,931,1023,93,77,73,149.53,40.15
P12,2241.12,1008.21,1024,1106,83,78,70,85.1,42.58
P14,962.02,1398.54,1107,1311,205,98,86,76.36,48.47
P15,1597.98,1398.54,1312,1397,86,86,80,152.37,62.48
P16,2241.12,1398.54,1398,1459,62,59,53,54.26,30.84
