task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,91,92,50,50,173.78,89.8
P2,962.02,203.26,92,161,70,61,59,123.07,48.29
P3,1597.98,203.26,162,172,11,11,11,162.37,32.62
P7,1597.98,598.09,173,661,489,123,116,89.93,52.53
P8,2241.12,598.09,662,753,92,82,82,99.95,57.21
P10,962.02,1008.21,754,959,206,104,99,85.86,61.05
P11,1597.98,1008.21,960,1047,88,82,81,145.1,67.36
P12,2241.12,1008.21,1048,1119,72,54,51,72.44,61.87
P13,319.78,1398.54,1120,1206,87,87,87,140.98,68.42
P14,962.02,1398.54,1207,1302,96,96,82,89.73,28.33
P15,1597.98,1398.54,1303,1387,85,85,77,129.85,36.95
P16,2241.12,1398.54,1388,1468,81,79,71,70.08,57.12
