task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,72,73,49,49,141.22,71.54
P2,962.02,203.26,73,118,46,46,43,79.25,58.71
P3,1597.98,203.26,119,179,61,61,59,125.48,58.54
P4,2241.12,203.26,180,235,56,50,46,82.09,29.51
P6,962.02,598.09,236,357,122,67,66,120.0,70.99
P7,1597.98,598.09,358,407,50,50,44,100.24,26.28
P8,2241.12,598.09,408,475,68,48,41,40.79,20.04
P9,319.78,1008.21,476,535,60,57,57,143.29,59.32
P10,962.02,1008.21,536,619,84,69,69,161.91,75.03
P11,1597.98,1008.21,620,675,56,49,49,112.43,84.87
P12,2241.12,1008.21,676,751,76,63,63,159.43,65.66
P13,319.78,1398.54,752,809,58,58,55,78.72,62.02
P14,962.02,1398.54,810,882,73,65,61,164.71,39.1
P15,1597.98,1398.54,883,949,67,67,60,97.04,46.75
P16,2241.12,1398.54,950,1005,56,52,52,143.41,87.88
