x_coord,y_coord
1983.1409912109375,1165.282958984375
1945.9325126092606,1185.6298160303559
1927.3824739084798,1181.4660875829338
1882.8137196192347,1130.1373409630382
1787.7741238956676,1327.2833230481635
1703.3907237758092,1350.592912050358
1625.936287413201,1276.213867632057
1566.7036752651854,1296.1934113290006
1511.258124767124,1259.6275851063792
1451.9892569629285,1224.47841425443
1405.8141118540082,1232.6347792509655
1268.3173468491123,1269.3795156610297
1115.5147556179556,1306.1592664232412
1012.8297112346436,1340.8392175220997
997.1244830967271,1352.3925284698335
1047.1233209197248,1309.6079387110742
1079.8710050482318,1283.8932928660465
1098.7045727852965,1277.8370126541952
1235.1850841042342,1584.133111213093
1243.1923545589427,1611.7844184190826
1260.2048765138238,1510.885188226392
1272.7809374944163,1415.6493449128325
1303.5181001016745,1299.7438667875076
1308.8673058346076,1208.9168595881556
1336.1062368096862,1121.1952236714405
1349.353322312861,1095.2264331462752
1357.2585237335509,1080.3177353954634
1364.6093127661068,1053.4727186837886
1362.834701548242,1109.9380948009798
1380.0956847203263,1143.9424532718338
1379.3641445294072,1176.2313338747394
1360.7584237993503,1209.843671291126
1382.9707243312791,1214.3998032897894
1382.0016443915526,1196.354306521344
1385.1877031678637,1187.9753748806152
1385.2887085507923,1156.2487044200777
1390.981258426082,1148.4182150621953
1409.8734836650615,1134.4938244747839
1415.4290084030645,1132.5791914898725
1427.5994792452443,1103.3627169311505
1446.3398970701262,1081.9640618903504
1446.8339183531932,1077.5818546262524
1446.2528251834108,1047.7889548273365
1445.676279102729,1026.9052613028543
1433.8658920883925,1021.6538854363382
1414.3444170010544,972.8053467808232
1419.668442324805,932.8134751032924
1423.1451604844854,896.6563061016611
1422.9531241727905,898.7547146426828
1432.9126543994907,886.7365358397509
1428.463719767888,904.1699669841014
1416.5361347576036,933.43100629847
1400.144073418553,899.8797515744724
1406.9551460070975,882.5808079657736
1406.3732785389168,900.2352333445702
1404.8448673267505,898.7092625739339
1385.0587957827718,865.4343047994677
1388.5224132425867,854.4455395263278
1408.1992815097583,831.5059743644553
1415.3849419641458,833.642254633472
1429.963957837917,809.0270086656121
1426.5581869743446,792.5068426909174
1434.0623766198864,780.7906240049936
1404.5719191255157,763.963181195851
1410.8693278340334,745.7969648710871
1389.7293693387694,800.8627675631224
1411.9666255839575,892.7984532005441
1395.11490021505,911.1454350441193
1387.03380979368,904.0369453644844
1366.9418774719109,898.4735902092929
1384.447482174545,860.6293483382668
1405.4504318071663,812.0819152508674
1398.7468538535613,765.3556246810726
1419.5265133488206,723.8963463570142
1436.5673855062591,667.1302676841126
1454.7192012590322,638.2066662396619
1456.2579812374775,654.4480218499207
1470.3677606827214,665.8385060179754
1470.9513086299378,640.0130921240128
1478.2648223242632,630.379574370316
1461.1056313785923,625.9170460270169
1448.9469446312223,611.1342526363475
1436.1496815231546,603.5212121162526
1430.7109496921332,595.3680731180665
1416.6998197915482,579.5318969815668
1400.9052732977436,709.0449209064855
1394.5561392912257,754.7266469172603
1373.8723015707023,737.1676857025233
1352.132806886516,722.4551128539284
1343.8272978352372,723.2606335162947
1334.3749933388763,710.3046288894085
1337.5183917150143,673.0008447409343
1340.121487794063,663.299848200771
1341.3058098617555,659.9517280204705
1335.2988477546216,651.7930205873454
1337.040296614634,622.4155756506854
1333.4874307125128,612.8988648352289
1343.909823357161,591.0850607812972
1358.8688817279992,570.7242835163444
1375.2852763458093,551.3179124506572
1397.0241025276484,537.8162090011504
1388.4093130656333,527.9630663854554
1390.7697150393108,536.8844183588747
1385.0530608146514,658.4776296732313
1331.8292890940409,776.2936961386149
1308.7194914554461,863.742803798924
1304.7920286508884,875.6472650926587
1324.6678969138086,878.4118367740364
1316.4942325495542,864.399783133924
1298.9736646810063,835.6045278383759
1299.143162045119,815.6345822779647
1305.1098903548127,784.8016799019848
1292.4510089526675,757.6521107688577
1282.5137137689921,722.5593159564185
1285.4354026949977,692.5941096667262
1276.7644582238188,660.740912293308
1290.498377652397,634.8327866313111
1305.2781276628484,609.5398148550029
1329.3484556884166,586.7202148448702
1351.6685354951583,597.6621144588395
1368.5672871845259,575.9627129405199
1378.73320802246,663.5848859543539
1366.6975546461156,770.1758560386461
1352.5235629286374,776.4447437840923
1353.1685179960302,769.2603772433266
1359.7922143654098,727.5733441159616
1350.440279799905,759.8921465448104
1333.254173766806,721.387175465938
1344.4323823959523,685.684756706227
1342.4485943578284,673.5981660317798
1342.4715974796225,670.9380404515488
1346.7135047401994,639.5334281761726
1349.44202648164,636.2768614410717
1360.641285150248,624.6818522477107
1364.0904424826049,603.015754707336
1357.8566987029394,611.0865040717911
1371.797363338971,612.6575553656792
1382.5726095808557,622.7421441519134
1397.8293894652707,595.9233616798278
1407.7568105147425,598.7820332304761
1404.3076532960913,573.4420868939077
1415.333195644941,566.1018754314028
1423.745902686529,536.5621967741637
1400.8791306956193,536.2079938553529
1393.5172121790756,547.6674613978721
1374.270219641288,543.3920337696129
1348.3713753762695,572.0196016223405
1350.4945989920093,560.4078559829156
1355.425265680605,549.100877942487
1353.7728149243023,541.3982940750985
1355.2505029798137,666.6741875798073
1345.8366732709253,739.1604914591431
1374.2358516568192,743.4410702038682
1384.114886280101,749.8989477666264
1373.1497204622171,758.8687734608963
1378.7192056260872,748.3251922587491
1381.5614679850557,726.5233543963001
1377.7130160403585,711.216248285337
1362.308836948872,703.8303069557883
1361.6004118494918,698.3089164136954
1374.8487714615321,646.6462554319884
1354.707617519829,618.9532204687613
1346.623611546433,629.3773320028354
1342.3092591646648,642.5342765486491
1342.4355424719383,630.1267462550351
1340.4735567448738,621.3831748494514
1344.5244446154177,597.1453697634411
1345.7697814198252,608.7182772393843
1407.7820147421414,834.0931495363388
1410.4802784441176,938.090132193604
1357.7760600068646,944.9689180318805
1346.8297596500947,939.3745610391743
1360.6530702365008,922.7486529827117
1363.929160664538,893.7246294902304
1361.0647918347952,860.6278176596426
1366.0567474339525,823.43944530699
1373.0774696031735,809.4822801564835
1373.1453173931855,780.1658256502711
1351.1384540793665,751.9603891480023
1359.4661659154133,727.3091598357469
1360.8492875630277,700.3401280074179
1356.10385139103,687.9036438274601
1342.3652659799131,675.9874092221362
1353.8715993329706,665.2172752823376
1364.720096442008,638.3518740930343
1371.2741318966666,587.8012805953721
1365.4277286952286,567.446371020859
1362.8175710764804,536.1710704434477
1369.6361172926775,544.9627722003482
1384.0763859303452,568.5235937310132
1378.7219696474156,556.4279249750855
1391.8940891621858,562.3530303562245
1382.4632953248906,566.3834086929023
1390.2299907069194,554.0097872986254
1400.3067891288642,547.9323850813633
1400.3013007214252,547.4836688350285
1417.1538671828098,549.6562627419522
1409.5324420601837,555.8852731129376
1412.8327360773508,616.6660340630758
1373.2473270424969,700.0683026422967
1356.2490370341127,738.1405965755131
1350.6595463212866,730.9939261398792
1353.3361675757237,722.3481201535723
1353.3109724521523,708.5047593050598
1357.8247369669034,698.9196168262528
1355.042242610005,673.9614799647641
1350.458883817895,673.2359096109524
1280.4046039257673,830.3568442601816
1198.5267654189336,979.1543221416526
1120.2976273712434,1131.7426250247352
